SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
Substation1,1,2022-01-01 00:00:00,14.0,76.0,47.0,61.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-02 00:00:00,25.0,45.0,33.0,41.0,1.0,14.3386471,120.9369394
Substation1,1,2022-01-03 00:00:00,10.0,52.0,29.0,46.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-04 00:00:00,10.0,60.0,52.0,53.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-05 00:00:00,2.0,81.0,39.0,49.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-06 00:00:00,9.0,102.0,75.0,74.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-07 00:00:00,9.0,90.0,57.0,63.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-08 00:00:00,10.0,126.0,68.0,86.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-09 00:00:00,16.0,167.0,106.0,130.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-10 00:00:00,33.0,226.0,243.0,142.0,1.0,14.3386471,120.9369394
Substation1,1,2022-01-11 00:00:00,24.0,222.0,156.0,175.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-12 00:00:00,11.0,220.0,240.0,196.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-13 00:00:00,53.0,239.0,258.0,184.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-14 00:00:00,24.0,232.0,181.0,168.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-15 00:00:00,30.0,283.0,253.0,218.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-16 00:00:00,15.0,240.0,260.0,172.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-17 00:00:00,0.0,243.0,293.0,205.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-18 00:00:00,18.0,290.0,368.0,227.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-19 00:00:00,15.0,267.0,311.0,230.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-20 00:00:00,19.0,270.0,324.0,225.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-21 00:00:00,16.0,255.0,401.0,217.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-22 00:00:00,4.0,207.0,354.0,214.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-23 00:00:00,10.0,141.0,369.0,206.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-24 00:00:00,51.0,0.0,271.0,141.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-25 00:00:00,6.0,0.0,336.0,171.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-26 00:00:00,4.0,238.0,343.0,169.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-27 00:00:00,36.0,279.0,489.0,209.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-28 00:00:00,2.0,175.0,419.0,182.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-29 00:00:00,2.0,0.0,487.0,204.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-30 00:00:00,45.0,213.0,363.0,148.0,0.0,14.3386471,120.9369394
Substation1,1,2022-01-31 00:00:00,14.0,303.0,581.0,212.0,0.0,14.3386471,120.9369394
Substation1,1,2022-02-01 00:00:00,2.0,276.0,547.0,162.0,0.0,14.3386471,120.9369394
Substation1,1,2022-02-02 00:00:00,9.0,272.0,540.0,162.0,0.0,14.3386471,120.9369394
Substation1,1,2022-02-03 00:00:00,6.0,301.0,615.0,200.0,0.0,14.3386471,120.9369394
Substation1,1,2022-02-04 00:00:00,7.0,158.0,144.0,62.0,0.0,14.3386471,120.9369394
Substation1,1,2022-02-05 00:00:00,13.0,330.0,730.0,206.0,0.0,14.3386471,120.9369394
Substation1,1,2022-02-06 00:00:00,3.0,325.0,595.0,172.0,0.0,14.3386471,120.9369394
